Source,Target,Type,Id,Label,Weight
@ABaradez,Innovation,Undirected,5349,,1
@mc_evah,Business,Undirected,5350,,1
@MathieuFlex,Education,Undirected,5352,,1
@TradingYT,Conseil,Undirected,5355,,1
@GuillaumeBarucq,Feedback,Undirected,5356,,1
@Ayoubspp,Business,Undirected,5357,,1
@JourneeMerde,Feedback,Undirected,5358,,1
@Boris_Gauty,Feedback,Undirected,5359,,1
@efysaboutey,Conseil,Undirected,5360,,1
@ptirebeu,Business,Undirected,5361,,1
@AnisBennanika,Innovation,Undirected,5362,,1
@twogrey,Feedback,Undirected,5363,,1
@lauraine_glow,Innovation,Undirected,5364,,1
@nicolashosotte,Innovation,Undirected,5365,,1
@192,Education,Undirected,5366,,1
@djigane,Education,Undirected,5368,,1
@AntoineOspital,Innovation,Undirected,5369,,1
@Mrs_Djenifer,Innovation,Undirected,5372,,1
@AnthonyRochand,Innovation,Undirected,5374,,1
@_IA,Innovation,Undirected,5375,,1
@Ecom,Innovation,Undirected,5376,,3
@mac_hour,Feedback,Undirected,5378,,1
@MemeCryptoFR,Innovation,Undirected,5379,,1
@grisou97160,Feedback,Undirected,5380,,1
@Mahtarus,Innovation,Undirected,5381,,1
@69HMeat,Business,Undirected,5382,,1
@9wd_3liya,Business,Undirected,5383,,1
@tetedefleur,Business,Undirected,5384,,1
@Cabaroc,Business,Undirected,5385,,1
@parlemoulastb,Feedback,Undirected,5386,,1
@AlizeeEnglish,Education,Undirected,5388,,1
@Les__Infiltres,Feedback,Undirected,5389,,1
@RaveaudGilles,Innovation,Undirected,5390,,1
@masquedelapeste,Feedback,Undirected,5391,,1
@Youssnk,Education,Undirected,5392,,1
@Emk,Business,Undirected,5394,,1
@7,Feedback,Undirected,5395,,1
@_allmne,Education,Undirected,5396,,1
@EnzoManis,Innovation,Undirected,5397,,1
@MiaouPlatinum,Feedback,Undirected,5398,,1
@taisezmoi,Business,Undirected,5399,,1
@Hoeslovebatsko,Education,Undirected,5400,,1
@xbt,Business,Undirected,5401,,1
@msnsdbb,Business,Undirected,5402,,1
@_iblevrai,Education,Undirected,5403,,2
@KimJoaoUn,Innovation,Undirected,5404,,1
@homogopnikus,Innovation,Undirected,5405,,1
@AnthonyRochand,Education,Undirected,5406,,1
@giulw0nderland,Education,Undirected,5407,,1
@LucyMotherOf4,Business,Undirected,5408,,1
@laurentchemla,Education,Undirected,5410,,1
@seaweed___,Feedback,Undirected,5411,,1
@sousH,Business,Undirected,5412,,1
@brb_,Business,Undirected,5413,,1
@cheikhdia20,Innovation,Undirected,5414,,1
@59_,Business,Undirected,5415,,1
@bucciarati_sf,Business,Undirected,5416,,1
@melvynxdev,Feedback,Undirected,5417,,3
@logan_bzh,Feedback,Undirected,5419,,1
@lauhaim,Conseil,Undirected,5420,,1
@Saeptem,Business,Undirected,5421,,1
@ACELAWJTM,Feedback,Undirected,5422,,1
@Mad_Chien,Education,Undirected,5423,,1
@MuchoSaucee,Conseil,Undirected,5424,,1
@ayaye,Feedback,Undirected,5425,,1
@TheTall,Education,Undirected,5426,,1
@dieguit05147017,Business,Undirected,5430,,1
@standhighpatr0l,Conseil,Undirected,5431,,1
@Paulo_Douard,Education,Undirected,5432,,1
@letheoricien228,Business,Undirected,5433,,1
@CCiminelli,Business,Undirected,5434,,1
@SinAmor92i,Education,Undirected,5435,,1
@MonniauxD,Business,Undirected,5436,,1
@sergemahugnon,Business,Undirected,5437,,1
@LeContempIateur,Innovation,Undirected,5438,,1
@tgerbaud,Business,Undirected,5439,,1
@707BLAST,Business,Undirected,5440,,1
@tracteurDeNoel,Business,Undirected,5442,,1
@WexItfr,Business,Undirected,5444,,1
@rvleroux,Feedback,Undirected,5445,,1
@helinhz,Business,Undirected,5446,,1
@MaxiMaxime,Business,Undirected,5447,,1
@_Oky___,Business,Undirected,5449,,1
@aliamsi,Feedback,Undirected,5451,,1
@_v2,Business,Undirected,5452,,1
@peco3k,Feedback,Undirected,5453,,1
@frank_sbr,Feedback,Undirected,5454,,1
@ohblaise,Feedback,Undirected,5456,,1
@Emilien_IA,Feedback,Undirected,5457,,1
@pxblxonroad,Innovation,Undirected,5458,,1
@adam_bros,Education,Undirected,5459,,1
@_Gost__,Education,Undirected,5460,,1
@Quentin_AI,Education,Undirected,5461,,1
@GneuGneuGne,Education,Undirected,5462,,1
@EspritEcom,Innovation,Undirected,5463,,1
@DigitalGanon,Business,Undirected,5465,,1
@lauhaim,Business,Undirected,5466,,1
@PbjbP,Feedback,Undirected,5467,,1
@_cocolait,Feedback,Undirected,5468,,1
@lightonseo,Education,Undirected,5469,,1
@Chinedu_Anyawu_,Business,Undirected,5470,,1
@ornikkar,Feedback,Undirected,5471,,1
@sstn23,Education,Undirected,5472,,1
@diradefo,Innovation,Undirected,5473,,1
@Cobra_FX_,Education,Undirected,5474,,1
@Uneheuredepeine,Conseil,Undirected,5475,,1
@pierrelapin,Feedback,Undirected,5476,,1
@_dlt2,Business,Undirected,5477,,1
@himvlvyv,Feedback,Undirected,5480,,1
@statista_fr,Conseil,Undirected,5481,,1
@StephanieLevy75,Feedback,Undirected,5484,,1
@sixpixels_web,Education,Undirected,5485,,1
@ismatagaa,Feedback,Undirected,5486,,1
@apithymario,Feedback,Undirected,5487,,1
@Coder,Education,Undirected,5488,,1
@uji,Feedback,Undirected,5489,,1
@CatchNewz,Conseil,Undirected,5490,,1
@greg_devin_,Feedback,Undirected,5491,,1
@AurlienGirard4,Feedback,Undirected,5492,,1
@MLFnathan,Education,Undirected,5493,,1
@winchesterb,Feedback,Undirected,5494,,1
@JaydeHoover,Business,Undirected,5495,,1
@rdmgirlfrmrio,Business,Undirected,5496,,1
@MoneyFacile_,Business,Undirected,5497,,1
@rolardinho,Business,Undirected,5498,,1
@vbt,Feedback,Undirected,5499,,1
@UmmuLayan,Education,Undirected,5501,,1
@OsmanKtr_,Education,Undirected,5502,,1
@Ladji_IA,Education,Undirected,5503,,3
@gabivoui2,Business,Undirected,5504,,1
@lbonnvieu,Feedback,Undirected,5505,,1
@NajBfit,Business,Undirected,5506,,1
@FPTFuckZOB,Feedback,Undirected,5507,,1
@jjvie,Feedback,Undirected,5508,,1
@MisterIA_off,Feedback,Undirected,5510,,1
@AiExplorerFR,Business,Undirected,5512,,1
@_LouisT,Conseil,Undirected,5513,,1
@SideKalott,Feedback,Undirected,5514,,1
@matumo_b,Feedback,Undirected,5515,,1
@Enthoven_R,Business,Undirected,5516,,1
@conseilsmkg,Conseil,Undirected,5517,,1
@FranklinNYAMSI,Feedback,Undirected,5518,,1
@Obeyvenality,Feedback,Undirected,5519,,1
@Icham3g,Innovation,Undirected,5521,,1
@Promptist6787,Conseil,Undirected,5522,,1
@ataraxiahm,Feedback,Undirected,5523,,1
@sebastienfucini,Feedback,Undirected,5524,,1
@SoMabrouk,Business,Undirected,5525,,2
@globhumanitaire,Feedback,Undirected,5528,,1
@Dorialexander,Innovation,Undirected,5529,,1
@Wnt,Conseil,Undirected,5530,,1
@JEANISLAM92,Feedback,Undirected,5531,,1
@EnvoyeSpecial,Business,Undirected,5532,,1
@babgi,Conseil,Undirected,5534,,1
@Le_Trema,Education,Undirected,5535,,1
@Ladji_IA,Feedback,Undirected,5536,,1
@AlexisPhilo,Feedback,Undirected,5537,,1
@melvynxdev,Innovation,Undirected,5538,,1
@cheikhmatarF,Innovation,Undirected,5539,,1
@FMCamara,Innovation,Undirected,5540,,1
@lilipucehyene,Education,Undirected,5542,,1
@ouvertya2min,Conseil,Undirected,5543,,1
@y4n05h,Business,Undirected,5544,,1
@BelkacemB,Feedback,Undirected,5545,,1
@SergeCorp,Feedback,Undirected,5546,,1
@CubaEnLacoste,Business,Undirected,5547,,1
@IAoptima,Feedback,Undirected,5548,,1
@zlotys_50,Feedback,Undirected,5549,,1
@haspidox,Conseil,Undirected,5550,,1
@0xygenation,Innovation,Undirected,5551,,1
@sorcierdelecom,Conseil,Undirected,5552,,1
@bapt_dailyens,Conseil,Undirected,5553,,1
@92,Education,Undirected,5554,,1
@taisezmoi,Feedback,Undirected,5556,,1
@max2barres,Education,Undirected,5557,,1
@djigane,Feedback,Undirected,5558,,1
@FlorentNouguez,Feedback,Undirected,5559,,1
@noemie_issan,Feedback,Undirected,5560,,1
@Ulysse_Rives,Feedback,Undirected,5561,,1
@ledevnovice,Feedback,Undirected,5562,,1
@AiExplorerFR,Feedback,Undirected,5563,,1
@CreateurContenu,Business,Undirected,5565,,1
@CWeb2fou,Conseil,Undirected,5566,,1
@dailyklo92,Education,Undirected,5568,,1
@willsanwidi,Innovation,Undirected,5569,,1
@KouahHonor,Feedback,Undirected,5570,,1
@vinceflibustier,Business,Undirected,5572,,2
@librairesecache,Business,Undirected,5575,,1
@dead_univers,Feedback,Undirected,5576,,1
@jeminformectout,Innovation,Undirected,5580,,2
@JulienPaniac,Business,Undirected,5582,,1
@CentreJeanRiGol,Education,Undirected,5584,,1
@TheAlexCallen,Innovation,Undirected,5585,,1
@batmanxnv,Innovation,Undirected,5586,,1
@angelotchka,Feedback,Undirected,5587,,1
@OlivierBabeau,Business,Undirected,5588,,1
@VirginieMartin_,Education,Undirected,5590,,1
@EnzoManis,Conseil,Undirected,5591,,2
@Thomas_Copy_,Innovation,Undirected,5592,,1
@Emilien_IA,Conseil,Undirected,5593,,1
@baldwintktk,Innovation,Undirected,5597,,1
@Botstartt,Conseil,Undirected,5601,,1
@IApocalypse_Now,Business,Undirected,5603,,1
@lintropreneur,Innovation,Undirected,5604,,1
@Think,Innovation,Undirected,5606,,1
@lucasvigiani,Education,Undirected,5607,,1
@S_Tronche,Conseil,Undirected,5608,,1
@L,Education,Undirected,5609,,1
@Hortensius,Conseil,Undirected,5610,,1
@clairemmathieu,Feedback,Undirected,5611,,1
@Poulin2012,Education,Undirected,5612,,1
@MAGagnonJDQ,Feedback,Undirected,5613,,1
@BlemontD,Business,Undirected,5614,,1
@YeoKanigui,Education,Undirected,5615,,1
@CocoDoBraz,Business,Undirected,5616,,1
@DFintelligence,Innovation,Undirected,5617,,1
@compte_touitere,Business,Undirected,5618,,1
@Mr_lobservateur,Innovation,Undirected,5621,,1
@FSucculent,Business,Undirected,5623,,1
@MarieLaureGB,Business,Undirected,5624,,1
@fuchs_web,Innovation,Undirected,5625,,1
@LLCoolJuiphe,Conseil,Undirected,5626,,1
@Jean__Emard,Business,Undirected,5627,,1
@OblivionSEOtaku,Business,Undirected,5628,,1
@magali_psqrs,Business,Undirected,5629,,1
@SylvainPaley,Business,Undirected,5630,,1
@abuixan,Innovation,Undirected,5631,,1
@tw2ezy,Education,Undirected,5633,,1
@iam_djessou,Conseil,Undirected,5634,,1
@Think,Business,Undirected,5637,,1
@SeymourDeViro,Business,Undirected,5639,,1
@fvckthem_all,Education,Undirected,5640,,1
@Bourmu,Education,Undirected,5642,,1
@sergio_coma,Business,Undirected,5643,,1
@Awake,Education,Undirected,5645,,1
@robin_psg,Business,Undirected,5646,,1
@By,Education,Undirected,5647,,1
@mla,Feedback,Undirected,5648,,1
@tchantchea,Conseil,Undirected,5650,,1
@vagabondII,Education,Undirected,5651,,1
@Neil_le_retour,Business,Undirected,5652,,1
@MayWest_,Conseil,Undirected,5653,,1
