Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-06-09,BotStartt,@Botstartt,"Commencez à gagner de l'argent en ligne avec 0€:

Site Web = Carrd  GRATUIT
Designer = Canva  GRATUIT
Espace de travail = Notion  GRATUIT
Automatisation = Automa  GRATUIT
Newsletter = Beehiiv  GRATUIT
Planification = Calendly  GRATUIT
Rédacteur = ChatGPT GRATUIT…",17000,2900
2023-06-16,German Swinger,@germanswinger75,Je vais courir un 100m contre Chat GPT dans le cadre des épreuves d’éducation physique au Baccalauréat 2023,441,83
2023-06-15,Gabriel Lantrac,@GLantrac,"Après avoir planché sur l’un des sujets du bac philo proposés mercredi aux candidats, l’essayiste Raphaël Enthoven a obtenu la note de 20/20. ChatGPT, 11...

On peut dire que l'artificiel intelligent a vaincu l'intelligence artificielle, dans un combat complètement con.",214,28
2023-06-25,rynex,@20,"Chat gpt une troisième candidature de Macron serait elle bonne pour la France ? 
Réponse : le plan de Macron étant de détruire la France donc non , économie , agriculture , indépendance énergetique , tout sera détruit 
C pas moi qui le dit ",134,19
1970-01-01,Iconicspeaker,@ss,"The 50CAL Speaker
320Watts 
up to 78hr battery
340ft Bluetooth range
Guitar input
USB C+A charge ports to charge your devices in the wild
100+ reviews scoring ★★★★★

Shop now: https://store.thodio.com/products/2018-50-cal-a-box-the-original-ammo-can-speaker?variant=7447155245084&twclid=2-5n0k483kqfel0mychyjixt9wf…

#AmmoCanSpeaker #bluetoothspeaker #outdoors #adventure #tacticool",108,26
2023-06-26,𝐎𝐫𝐨𝐜𝐡𝐢,@_kjf_orochi_,"ChatGPT littéralement en train de sauver mon rapport de comité de thèse, merci à toi princesse",38,14
2023-06-15,Monsieur Samovar,@m_samovar,"Hier j'ai mis la table.
Chat GPT a pas été foutu de le faire.

Hein que je suis trop fort ? 

(Oui ceux qui savent savent.)",59,8
2023-06-06,b2v,@babaeldoctor,"Jfjdjdjdjjd 18,75 à mon mémoire. J’espère vraiment trop trop que le crack qui a inventé chatGPT est entrain de se faire sucer sur une île paradisiaque dans les Maldives à l’heure où j’écris ce tweet",7,0
2023-06-01,Eric Dineur,@DineurEric,"Cnews.
Essai de poésie sur sur Chatgpt. 
Les intervenants sont à juste titre consternés. 
Mais mettez ce connard de Laurent Alexandre à la poubelle, nom d'un chien !!!",284,7
2023-06-18,Noah Ewan | Auteur SFFF & Romance M/M,@Lecrivain_perdu,"""J'avais pas d'inspiration pour mon scénario du coup j'ai demandé à chat gpt""

Mais pourquoi vous vous enlevez la partie la plus intéressante du métier comme ça ??",142,13
2023-06-19,Bad Demon Spirit,@regis_alenda,"Apres sa victoire sur ChatGPT, Raphael Enthoven bat un enfant de 4 ans a un tournoi de boxe Française.",17,5
2023-06-03,VIDÉOS ABERRANTES,@vid_aberrantes,"ChatGPT reçoit 65 millions de visites par jour.

Mais presque tout le monde est bloqué en mode débutant et ne profite pas de son véritable potentiel.

Copiez-collez ces 9 techniques avancées de ChatGPT qui vous feront économiser des heures par jour :",63,6
